SK_ID_CURR,TARGET
100001,0.05536584878778586
100005,0.19164879276010643
100013,0.05387566211929696
100028,0.04990456092202559
100038,0.13512945380537916
100042,0.028208083299894146
100057,0.02996102222933109
100065,0.10410474935353001
100066,0.02223359170931029
100067,0.11004866829931542
100074,0.07198238569906784
100090,0.09269825637404336
100091,0.15485566799490444
100092,0.10311311970795771
100106,0.1035090485053153
100107,0.11843292119139191
100109,0.0741747494461183
100117,0.04025558617296563
100128,0.06880677461345969
100141,0.05969595263517055
100150,0.03740127937701075
100168,0.012902924778834169
100169,0.03529848442603286
100170,0.06967034071746546
100171,0.05275120727715391
100172,0.14175894129339964
100184,0.08954422412541461
100187,0.0640405791190981
100212,0.06059443502712204
100222,0.09571273931779552
100223,0.022378201373606
100232,0.03142882120101966
100241,0.1665697915367634
100245,0.0288782702139145
100253,0.024975430592592242
100256,0.11168961530012989
100271,0.023092773646893074
100278,0.218296931730502
100280,0.025267922803157674
100306,0.17877777251653443
100311,0.13774165887354659
100312,0.02894871830632762
100330,0.08770243542551366
100331,0.06313761393757347
100352,0.08757725716471507
100358,0.13172696027031439
100367,0.05295618399393336
100382,0.13015107367663242
100384,0.07123398834946104
100385,0.1041471721763731
100386,0.06772255229703651
100399,0.03805462400362052
100404,0.09062205710164639
100416,0.03130275337179296
100422,0.12204391127048334
100426,0.04860711686346769
100438,0.054897763912372784
100444,0.1347339821755139
100445,0.12053240814914923
100446,0.09253475505652588
100447,0.04396288633963289
100450,0.06291378943079813
100466,0.037570454744856
100483,0.040501608045236594
100484,0.025688193057756114
100494,0.07464764200884666
100510,0.16640164150259112
100512,0.038762381790858225
100517,0.04579056592809383
100548,0.054794392867786215
100551,0.04802631534172723
100552,0.14030668415589953
100553,0.03679171003794983
100561,0.14381234940295218
100568,0.298313674826251
100569,0.043094926540041704
100591,0.06926097665845685
100592,0.024622227233391674
100602,0.0685962656206389
100607,0.07058713537840015
100613,0.07793469340054075
100617,0.08877108324670249
100618,0.0916698992595894
100622,0.14052100233101858
100625,0.08714728066623226
100677,0.10970619360555589
100699,0.06170289589271678
100702,0.3727431301146627
100711,0.07503448843025197
100729,0.17077700282899486
100740,0.11771668955020217
