Id,SalePrice
1461,124103.48220961116
1462,151268.19618942786
1463,182481.3672670237
1464,188195.594444062
1465,192864.42951655708
1466,184416.29916677167
1467,171319.66410131613
1468,177247.62600867308
1469,182839.80674291056
1470,129645.3335000877
1471,202477.1683991762
1472,99888.1051799397
1473,105619.16283496335
1474,152704.1273728182
1475,124997.24603684137
1476,341640.5160380894
1477,248979.39304399863
1478,301746.2015335404
1479,302929.0216348336
1480,386526.34901023266
1481,307407.4357501199
1482,207311.8187615606
1483,186478.2467912694
1484,177698.4062654223
1485,176928.87880904597
1486,198325.86966829235
1487,298811.775481414
1488,239555.0130509148
1489,201761.25605226646
1490,216016.57880420444
1491,197600.60767785707
1492,104942.70050572055
1493,177108.17967834987
1494,284224.62768170564
1495,279488.16406019323
1496,228726.42422814516
1497,185157.22431058745
1498,160729.94421358703
1499,159941.30554129338
1500,159565.2723901515
1501,169932.34826197632
1502,164216.38835137413
1503,267470.3066161894
1504,219247.97804356006
1505,219345.90426194
1506,181748.95932287502
1507,235173.62814089187
1508,187541.7210223838
1509,160775.82510328232
1510,148155.63281759742
1511,148435.79698403177
1512,171476.25590788646
1513,151958.1085206129
1514,152304.02357191802
1515,183039.75785670677
1516,153082.40365492264
1517,148147.56481965055
1518,140833.93192383833
1519,220451.72619536665
1520,139489.5585483968
1521,139927.56309899918
1522,161923.07007785107
1523,119649.9293142786
1524,120518.24442572628
1525,127086.89061347664
1526,125774.94137496948
1527,113414.3938657614
1528,125762.55423771692
1529,140343.00164643468
1530,162431.66071680872
1531,135445.86682920353
1532,104995.50370306223
1533,139215.46332639267
1534,119421.87078500201
1535,147308.50289624245
1536,122258.72694017497
1537,102288.96193363561
1538,144159.62199049184
1539,179554.0129039065
1540,122953.05367020585
1541,139406.47479248326
1542,135575.43978557157
1543,173307.08941148996
1544,89350.91947243885
1545,107376.19595797156
1546,122611.06754714095
1547,134451.97745082094
1548,123762.81917279772
1549,111548.45608568158
1550,140049.87586399078
1551,121909.38363498768
1552,145696.23650262895
1553,135697.4857871695
1554,115469.8808326983
1555,167334.19786917343
1556,102935.27031784484
1557,118670.81419755108
1558,105586.26267301808
1559,116888.27905191199
1560,141488.96248178612
1561,147409.8387366333
1562,126720.38140814907
1563,123144.61662450762
1564,160654.4148280633
1565,156933.58820499078
1566,202596.89947531887
1567,95739.05848233364
1568,210326.96454809798
1569,154779.38667539894
1570,135777.66347666032
1571,128758.73714050758
1572,142187.5126560343
1573,228519.0301282053
1574,134241.73745000764
1575,205458.6288204515
1576,226497.81722764534
1577,194057.2948675595
1578,148670.13777781825
1579,144510.1190426476
1580,192656.94531761613
1581,137066.69024561578
1582,127218.84889849034
1583,311056.36014174606
1584,234783.00388742058
1585,147195.34079673648
1586,92842.63469386943
1587,112168.70337781389
1588,140565.75116239864
1589,109968.92476556308
1590,135051.92033038972
1591,102532.72459751969
1592,130836.67717753859
1593,120689.14689495834
1594,128861.09190154885
1595,133865.24708445158
1596,199383.51113552527
1597,167723.23610028153
1598,181003.6602884171
1599,163450.98945023533
1600,178584.7343312861
1601,87993.46171627664
1602,113215.07278613209
1603,103277.31974562051
1604,262974.78909508727
1605,241137.43204403573
1606,162609.40063969328
1607,160219.21390187478
1608,214255.21606628184
1609,190789.2023265557
1610,164886.55390067358
1611,147881.50026405262
1612,190489.91272973028
1613,176191.955066871
1614,120816.81899546081
1615,93571.29402657271
1616,90574.42309604741
1617,99165.63671370783
1618,123501.80062545171
1619,135850.90229827634
1620,175552.35276423147
1621,141803.73220410754
1622,141506.65879821446
1623,256466.64639956717
1624,217987.06581313096
1625,125972.48226100576
1626,170062.7242257846
1627,187985.44144494945
1628,264794.9048371963
1629,174500.59357015823
1630,290101.67235357926
1631,199390.9484731957
1632,230842.38937243936
1633,170560.90188645668
1634,187752.6716967786
1635,182408.47763489184
1636,167593.243899036
1637,181376.8909917988
1638,196048.99023952952
1639,182801.6867970153
1640,229872.10877148985
1641,176966.44313059593
1642,215848.87663527296
1643,220171.54201781945
1644,216770.7557649081
1645,185138.5913695407
1646,154811.22920293672
1647,159934.44934709603
1648,141393.13081591888
1649,138304.75718015947
1650,124544.93916796053
1651,123595.24714540334
1652,100459.37218075224
1653,101101.92714433574
1654,154169.07661976726
1655,148620.6769850451
1656,151347.90565002587
1657,153327.33992358565
1658,155839.60884064922
1659,129093.86442109519
1660,151268.72758306592
1661,384054.2387894826
1662,320800.15404585714
1663,360188.657960657
1664,383220.37181051145
1665,306711.14052430924
1666,316700.7146710288
1667,324706.3549173157
1668,320864.03407541884
1669,279273.50039642496
1670,328642.0073151192
1671,267225.45734289975
1672,375410.8813594024
1673,295907.3839470743
1674,249959.83285997817
1675,196484.2126069687
1676,196392.57553536838
1677,205284.46566174712
1678,378542.6864347869
1679,362115.1620370235
1680,305605.38900618104
1681,240420.42031344702
1682,307965.761583227
1683,197064.62038477155
1684,184601.67069079322
1685,181279.4284858001
1686,181280.0869454164
1687,172473.39487000072
1688,197907.55101516857
1689,194286.79362060095
1690,190727.64406053236
1691,181610.7296806211
1692,250681.96515853642
1693,171619.2289771341
1694,182277.60973265982
1695,172329.06813881246
1696,262116.12025426334
1697,167857.04784768718
1698,322278.68419948535
1699,313960.8542950944
1700,242784.46328960525
1701,256838.19798490973
1702,255348.84864993626
1703,256244.0758844472
1704,282743.86655397067
1705,229782.59197406966
1706,361826.5818011892
1707,211899.0760435649
1708,204035.58831473626
1709,256058.55270013664
1710,222541.1865379419
1711,254041.6626245099
1712,261982.6937342354
1713,262460.9005978168
1714,216125.91647676003
1715,198591.07283659562
1716,177710.35888712326
1717,168248.42171711364
1718,130804.63318034327
1719,204562.85924468096
1720,238729.98600964437
1721,165154.3822959333
1722,126764.42349110829
1723,155754.81665838888
1724,216354.47193495423
1725,225937.18302713148
1726,192313.62301424585
1727,180506.51888947692
1728,190442.3904450348
1729,161645.93068998752
1730,151198.10400032526
1731,126363.86346949608
1732,130528.77954719252
1733,126125.0680371893
1734,129302.24017410776
1735,132176.30405250497
1736,123455.30649122047
1737,262709.17994911456
1738,209777.86480486573
1739,249209.3156375541
1740,228551.96628759403
1741,182764.95189134972
1742,167914.09071440622
1743,172684.87196833364
1744,257033.45028533533
1745,204051.40665338814
1746,191625.42280046645
1747,196253.59215722262
